prioridad,model,tiene_tos,tiene_hist,cual_historical,tiene_ssp245,tiene_ssp370,tiene_ssp585,experimentos_encontrados
0,GISS-E2-1-H,1,1,historical,1,1,1,1pctCO2|abrupt-2xCO2|abrupt-4xCO2|historical|piControl|ssp119|ssp126|ssp245|ssp370|ssp370-lowNTCF|ssp434|ssp460|ssp534-over|ssp585
0,GISS-E2-2-G,1,1,historical,1,1,1,1pctCO2|abrupt-2xCO2|abrupt-4xCO2|amip|hist-sol|historical|piControl|ssp126|ssp245|ssp370|ssp534-over|ssp585
0,IITM-ESM,1,1,historical,1,1,1,1pctCO2|historical|piControl|ssp126|ssp245|ssp370|ssp585
0,INM-CM4-8,1,1,historical,1,1,1,1pctCO2|abrupt-4xCO2|historical|lgm|midHolocene|piControl|ssp126|ssp245|ssp370|ssp585
0,INM-CM5-0,1,1,historical,1,1,1,1pctCO2|abrupt-4xCO2|historical|piControl|ssp126|ssp245|ssp370|ssp585
0,IPSL-CM6A-LR,1,1,historical,1,1,1,1pctCO2|1pctCO2-bgc|1pctCO2-rad|G1|G6solar|G6sulfur|G7cirrus|abrupt-4xCO2|abrupt-solm4p|abrupt-solp4p|dcppA-hindcast|dcppC-amv-ExTrop-neg|dcppC-amv-ExTrop-pos|dcppC-amv-Trop-neg|dcppC-amv-Trop-pos|dcppC-amv-neg|dcppC-amv-pos|dcppC-atl-control|dcppC-atl-pacemaker|dcppC-ipv-NexTrop-neg|dcppC-ipv-NexTrop-pos|dcppC-ipv-neg|dcppC-ipv-pos|dcppC-pac-control|dcppC-pac-pacemaker|deforest-globe|hist-GHG|hist-aer|hist-nat|hist-noLu|hist-piAer|hist-spAer-all|hist-stratO3|historical|lig127k|midHolocene|midPliocene-eoi400|omip1|pa-futArcSIC|pa-futArcSIC-ext|pa-pdSIC|pa-pdSIC-ext|pa-piArcSIC|piControl|piControl-spinup|ssp119|ssp126|ssp245|ssp245-GHG|ssp245-nat|ssp370|ssp434|ssp460|ssp534-over|ssp585
0,KACE-1-0-G,1,1,historical,1,1,1,1pctCO2|abrupt-4xCO2|historical|ssp126|ssp245|ssp370|ssp585
0,MCM-UA-1-0,1,1,historical,1,1,1,1pctCO2|abrupt-4xCO2|historical|piControl|ssp126|ssp245|ssp370|ssp585
0,MIROC-ES2H,1,1,historical,1,1,1,G1|abrupt-4xCO2|historical|piControl|ssp119|ssp126|ssp245|ssp370|ssp585
0,MIROC-ES2L,1,1,historical,1,1,1,1pctCO2|1pctCO2-bgc|1pctCO2-cdr|1pctCO2-rad|1pctCO2Ndep|1pctCO2Ndep-bgc|abrupt-4xCO2|deforest-globe|esm-1pct-brch-1000PgC|esm-1pct-brch-2000PgC|esm-1pct-brch-750PgC|esm-1pctCO2|esm-hist|esm-pi-CO2pulse|esm-pi-cdr-pulse|esm-piControl|esm-ssp534-over|esm-ssp585|esm-ssp585-ssp126Lu|hist-bgc|hist-noLu|historical|lgm|lig127k|midHolocene|omip1|omip1-spunup|past1000|piControl|ssp119|ssp126|ssp126-ssp370Lu|ssp245|ssp245-cov-fossil|ssp245-cov-modgreen|ssp245-cov-strgreen|ssp245-covid|ssp370|ssp370-ssp126Lu|ssp534-over|ssp534-over-bgc|ssp585|ssp585-bgc|volc-long-eq|volc-pinatubo-full|volc-pinatubo-strat|volc-pinatubo-surf
0,MIROC6,1,1,historical,1,1,1,1pctCO2|abrupt-0p5xCO2|abrupt-2xCO2|abrupt-4xCO2|amip-lfmip-pdLC|amip-lfmip-rmLC|dcppA-assim|dcppA-hindcast|faf-all|faf-heat|faf-heat-NA0pct|faf-heat-NA50pct|faf-passiveheat|faf-stress|faf-water|hist-CO2|hist-GHG|hist-aer|hist-nat|hist-sol|hist-stratO3|hist-totalO3|hist-volc|historical|omip1|omip2|piControl|ssp119|ssp126|ssp245|ssp245-GHG|ssp245-aer|ssp245-nat|ssp245-stratO3|ssp370|ssp434|ssp460|ssp534-over|ssp585
0,MPI-ESM1-2-HR,1,1,hist-1950+historical,1,1,1,1pctCO2|G6solar|G6sulfur|abrupt-4xCO2|control-1950|dcppA-hindcast|faf-all|faf-heat|faf-heat-NA50pct|faf-passiveheat|faf-stress|faf-water|highres-future|hist-1950|historical|piControl|ssp126|ssp245|ssp370|ssp585
0,MPI-ESM1-2-LR,1,1,historical,1,1,1,1pctCO2|1pctCO2-bgc|1pctCO2-rad|1pctCO2Ndep|1pctCO2Ndep-bgc|G6solar|G6sulfur|abrupt-4xCO2|deforest-globe|esm-1pct-brch-1000PgC|esm-1pctCO2|esm-hist|esm-piControl|esm-ssp534-over|esm-ssp585|esm-ssp585-ssp126Lu|faf-all|faf-heat|faf-heat-NA50pct|faf-passiveheat|faf-stress|faf-water|hist-noLu|historical|lgm|midHolocene|past2k|piControl|ssp119|ssp126|ssp126-ssp370Lu|ssp245|ssp245-cov-fossil|ssp245-cov-modgreen|ssp245-cov-strgreen|ssp245-covid|ssp370|ssp370-ssp126Lu|ssp585|volc-long-eq|volc-pinatubo-full
0,MRI-ESM2-0,1,1,historical,1,1,1,1pctCO2|1pctCO2-bgc|1pctCO2-rad|abrupt-0p5xCO2|abrupt-2xCO2|abrupt-4xCO2|abrupt-solm4p|abrupt-solp4p|dcppA-assim|dcppA-hindcast|esm-hist|esm-piControl|esm-ssp585|faf-all|faf-heat|faf-heat-NA0pct|faf-heat-NA50pct|faf-passiveheat|faf-stress|faf-water|hist-1950HC|hist-GHG|hist-aer|hist-bgc|hist-nat|hist-piAer|hist-piNTCF|hist-resAMO|hist-resIPO|hist-sol|hist-stratO3|hist-volc|historical|midHolocene|omip1|omip1-spunup|omip2|past1000|piControl|ssp119|ssp126|ssp245|ssp245-cov-fossil|ssp245-cov-modgreen|ssp245-cov-strgreen|ssp245-covid|ssp370|ssp370-lowNTCF|ssp370-lowNTCFCH4|ssp434|ssp460|ssp534-over|ssp585|ssp585-bgc
0,NorESM2-LM,1,1,historical,1,1,1,1pctCO2|1pctCO2-bgc|1pctCO2-cdr|1pctCO2-rad|abrupt-4xCO2|deforest-globe|esm-1pct-brch-1000PgC|esm-hist|esm-pi-CO2pulse|esm-pi-cdr-pulse|esm-piControl|esm-ssp534-over|esm-ssp585|esm-ssp585-ocn-alk|esm-ssp585-ssp126Lu|hist-GHG|hist-aer|hist-nat|hist-noLu|hist-piAer|hist-piNTCF|hist-spAer-all|historical|lig127k|midHolocene|omip1|omip1-spunup|omip2|pa-futArcSIC|pa-futArcSIC-ext|pa-pdSIC|pa-pdSIC-ext|piControl|ssp126|ssp126-ssp370Lu|ssp245|ssp245-GHG|ssp245-aer|ssp245-covid|ssp245-nat|ssp370|ssp370-lowNTCF|ssp370-ssp126Lu|ssp534-over|ssp534-over-bgc|ssp585|ssp585-bgc
0,NorESM2-MM,1,1,historical,1,1,1,1pctCO2|abrupt-4xCO2|historical|piControl|ssp126|ssp245|ssp370|ssp585
0,TaiESM1,1,1,historical,1,1,1,hist-piNTCF|historical|ssp126|ssp245|ssp370|ssp585
0,UKESM1-0-LL,1,1,historical,1,1,1,1pctCO2|1pctCO2-bgc|1pctCO2-cdr|1pctCO2-rad|1pctCO2Ndep|1pctCO2Ndep-bgc|G1|abrupt-4xCO2|deforest-globe|esm-1pct-brch-1000PgC|esm-1pct-brch-2000PgC|esm-1pct-brch-750PgC|esm-hist|esm-pi-cdr-pulse|esm-piControl|esm-ssp534-over|esm-ssp585|esm-ssp585-ocn-alk|esm-ssp585-ocn-alk-stop|esm-ssp585-ssp126Lu|esm-ssp585ext|hist-1950HC|hist-bgc|hist-noLu|hist-piAer|hist-piNTCF|historical|piControl|ssp119|ssp126|ssp126-ssp370Lu|ssp245|ssp370|ssp370-lowNTCFCH4|ssp370-ssp126Lu|ssp434|ssp534-over|ssp534-over-bgc|ssp585|ssp585-bgc|volc-pinatubo-full
2,ACCESS-OM2,1,0,,0,0,0,omip2|omip2-spunup
2,ACCESS-OM2-025,1,0,,0,0,0,omip2
2,CESM1-1-CAM5-CMIP5,1,0,,0,0,0,dcppA-hindcast|dcppC-hindcast-noAgung|dcppC-hindcast-noElChichon|dcppC-hindcast-noPinatubo
2,CMCC-CM2-VHR4,1,0,,0,0,0,control-1950
2,EC-Earth3-HR,1,0,,0,0,0,dcppA-hindcast
2,EC-Earth3-LR,1,0,,0,0,0,lig127k|midHolocene|midPliocene-eoi400|piControl
2,GFDL-ESM2M,1,0,,0,0,0,faf-all|faf-heat|faf-heat-NA0pct|faf-heat-NA50pct|faf-passiveheat|faf-stress|faf-water
2,HadGEM3-GC31-MH,1,0,,0,0,0,spinup-1950
2,IPSL-CM6A-MR1,1,0,,0,0,0,1pctCO2|abrupt-4xCO2|piControl
2,NICAM16-7S,1,0,,0,0,0,highresSST-future|highresSST-present
2,NICAM16-8S,1,0,,0,0,0,highresSST-future|highresSST-present
